"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Referenced in sitemaps"	"No. of href inlinks"	"No. of redirect inlinks"	"No. of canonical inlinks"	"No. of hreflang inlinks"	"No. of pagination inlinks"	"No. of CSS inlinks"	"No. of IMG inlinks"	"No. of JS inlinks"
"20"	"https://www.amadolibros.com/libro/MLU617229758/libro-finales-de-ajedrez-miguiel-illescas-cordoba"	"Libro - Finales de Ajedrez - Miguiel Illescas Cordoba | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU619062660/libro-sobre-tu-cadaver-dan-wells"	"Libro - sobre Tu Cadaver - Dan Wells | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU618503077/summa-141-vivienda-colectiva-y-espacio-publico"	"Summa + 141: Vivienda Colectiva Y Espacio Público | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU614583373/libro-la-argentina-devorada-jose-luis-espert"	"Libro - la Argentina Devorada - Jose Luis Espert | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU636910806/nacimientos-bajo-control-el-parto-en-las-edades-moderna"	"Nacimientos Bajo Control: el Parto en las Edades… | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU639558952/manual-para-tocar-guitarra-ernie-jackson"	"Manual para Tocar Guitarra, Ernie Jackson | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU627597117/el-deportista-perfecto-miguel-simon"	"El Deportista Perfecto - Miguel Simon | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU629964153/humanizar-la-soledad-de-consuelo-santamaria"	"Humanizar la Soledad de Consuelo Santamaría | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU609571751/autismos-cintia-fritz-daniel-valdez"	"#autismos - Cintia Fritz | Daniel Valdez | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU478189961/mi-hijo-padece-trastornos-del-desarrollo"	"Mi Hijo Padece Trastornos del Desarrollo | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
