prioridad,mlu,titulo,isbn,stock,publicaciones_mismo_isbn,categoria,enriquecida,ficha_ampliada,falta,motivo,google_books,open_library,bne,loc,dnb
5442,MLU1455897600,"Fluir Para No Sufrir: 11 Principios Para Transformar Tu Vida, De Cala, Ismael. Autoayuda Editorial Aguilar, Tapa Blanda En Español, 2022",9788411190251,2,2,desarrollo-personal,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,sin_datos,sin_datos
5443,MLU478651565,"Destete Final De Una Etapa, Lactancia Libro",9788418055003,2,2,medicina-salud,si,si,temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5444,MLU600647726,"Libro Mi Escuela Sabe A Naranja - Diez Navarro, Maria Del Ca",9788478275205,2,2,educacion/formacion-docente,si,si,temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5445,MLU601622189,Libro Los Bebes Y Sus Madres - Donald Winnicott,9788449339042,2,2,psicologia/psicoanalisis,si,si,temas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5446,MLU602976950,Canto De Mi Mismo Edicion Bilingüe Whitman Walt,9789500396462,2,2,literatura-ficcion/poesia,si,si,temas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5447,MLU606532916,"Libro Criar Desde El Corazón - Muñoz, Beatriz M",9788418007170,2,2,familia-crianza/crianza,si,si,páginas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5448,MLU609632159,El Inversor Inteligente. Benjamin Graham,9781418599942,2,2,negocios-economia,si,si,temas,falta_google_books,pendiente,encontrado,sin_datos,sin_datos,sin_datos
5449,MLU610802537,Libro Convivir Con Niños Y Adolescentes Con Trastorno,9788491101154,2,2,infantil-juvenil/literatura-infantil,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,sin_datos,sin_datos
5450,MLU611355698,Libro - Project 2 - Student´s Book - Oxford,9780194764568,2,2,idiomas-aprendizaje/ingles,si,si,temas,falta_google_books,pendiente,encontrado,sin_datos,sin_datos,sin_datos
5451,MLU611925388,Libro - Biblia Católica Para Jóvenes -edicion Revisada,9788490736623,2,2,religion-espiritualidad/biblia,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,error,sin_datos
5452,MLU612997527,"Libro - Redes De Maternidad Y Crianza - Garrido Mayo, María",9788494998713,2,2,familia-crianza/maternidad,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,sin_datos,sin_datos
5453,MLU614499995,Libro - Planificación Didáctica En El Jardín De I. - Pitluk,9789508084644,2,2,educacion/pedagogia,si,si,temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5454,MLU614583373,Libro - La Argentina Devorada - Jose Luis Espert,9789505566990,2,2,negocios-economia,si,si,páginas,falta_google_books,pendiente,encontrado,sin_datos,encontrado,sin_datos
5455,MLU614661063,Libro - La Vuelta Al Cuerpo En Cuarenta Puntos - Lorente A,9788441421134,2,2,medicina-salud,si,si,temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5456,MLU614865254,Libro - El Contenido De Las Psicosis - Carl G. Jung,9788475095868,2,2,psicologia,si,si,temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,encontrado
5457,MLU616864843,Libro - Disciplina Positiva Para Padres Y Madres - Nelsen,9788497991766,2,2,desarrollo-personal,si,si,páginas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5458,MLU618333089,"Libro - Un Pellizco En La Barriga - Serra Gonzalez, Alma",9788416777099,2,2,infantil-juvenil/emociones-vinculos,si,si,páginas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5459,MLU618355470,Libro - Graffiti Ninja - Osvaldo Aguirre - Norma,9789875456358,2,2,infantil-juvenil/literatura-juvenil,si,si,temas,falta_google_books,pendiente,pendiente,pendiente,encontrado,sin_datos
5460,MLU619081955,"Libro Anatomía Del Espiritu - Myss, Caroline",9788416076642,2,2,medicina-salud/anatomia,si,si,páginas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5461,MLU621163445,Violet Bent Backwards Over The Grass Lana Del Rey Tapa Dura,9781982167288,2,2,literatura-ficcion/poesia,si,si,páginas,falta_google_books,pendiente,pendiente,pendiente,encontrado,sin_datos
5462,MLU622394478,"Ejercicios De Contemplación Jalics, Franz",9788430113309,2,2,religion-espiritualidad,si,si,páginas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,encontrado
5463,MLU623589227,"Psicomotricidad El Cuerpo En Juego, Myrtha Chokler",9788499240886,2,2,psicologia/psicomotricidad,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,error,sin_datos
5464,MLU624170939,"Luz En El Sendero - Collins,mabel - Shambhala",9788494773891,2,2,esoterismo-tarot/espiritualidad-energia,si,si,temas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5465,MLU624843986,Curar El Trauma - Peter A. Levine,9788411190077,2,2,psicologia,si,si,temas,falta_google_books,pendiente,pendiente,pendiente,error,sin_datos
5466,MLU625343824,Bromiley: Lesiones Del Caballo Tratamiento Y Rehabilitacion,9788420011073,2,2,medicina-salud,si,si,temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5467,MLU625829239,Metodo De Doma De Campo Y Rejoneo - Moreno Pidal,9788496060142,2,2,naturaleza-animales/caballos-equitacion,si,si,temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5468,MLU626543391,"Superahorradores, Gracia, Dinero, Finanzas, Ahorrar",9788413441306,2,2,negocios-economia,si,si,temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5469,MLU628104560,"Libro La Vuelta Al Cuerpo En 40 Puntos - Lorente Alonso, Ale",9788441421134,2,2,medicina-salud,si,si,temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
